product_category_name_english,product_weight_g,product_length_cm,product_height_cm,product_width_cm,volume
agro_industry_and_commerce,5263.405405405405,36.527027027027025,28.945945945945947,25.81081081081081,37604.22972972973
air_conditioning,4459.959677419355,36.46774193548387,23.887096774193548,26.088709677419356,27910.532258064515
art,1691.7636363636364,35.92727272727273,11.8,23.363636363636363,10668.49090909091
arts_and_craftmanship,1164.578947368421,28.36842105263158,9.789473684210526,21.05263157894737,6895.9473684210525
audio,641.6379310344828,20.82758620689655,11.5,17.344827586206897,4970.172413793103
auto,2654.6505263157896,34.05,16.24157894736842,23.382105263157897,16603.585263157896
baby,3655.2015250544664,37.14705882352941,21.61764705882353,28.71786492374728,30835.576252723313
bed_bath_table,2456.4050841862,36.774182898646416,14.091119181247937,30.589963684384283,18594.577088147904
books_general_interest,746.6111111111111,23.48148148148148,9.773148148148149,19.328703703703702,3900.046296296296
books_imported,596.7741935483871,29.741935483870968,3.4516129032258065,21.225806451612904,1935.3870967741937
books_technical,1107.8455284552845,27.32520325203252,5.869918699186992,18.463414634146343,2758.991869918699
cds_dvds_musicals,550.0,35.0,15.0,25.0,13125.0
christmas_supplies,1849.8153846153846,28.23076923076923,16.215384615384615,22.83076923076923,13947.046153846153
cine_photo,795.7857142857143,27.642857142857142,11.571428571428571,18.178571428571427,6952.392857142857
computers,7995.333333333333,32.13333333333333,34.333333333333336,40.1,44635.166666666664
computers_accessories,898.3776693105552,25.039658328248933,12.461256863941427,18.143380109823063,6483.912141549726
consoles_games,636.6593059936909,21.79179810725552,12.6403785488959,18.473186119873816,6898.905362776025
construction_tools_construction,3550.0525,29.795,15.895,24.2425,15455.385
construction_tools_lights,2280.9615384615386,27.846153846153847,20.423076923076923,25.73076923076923,18897.25641025641
construction_tools_safety,950.7692307692307,23.065934065934066,15.0,18.98901098901099,7472.054945054945
cool_stuff,2566.579214195184,33.752851711026615,22.988593155893536,24.491761723700886,23246.484157160965
costruction_tools_garden,2401.034090909091,28.693181818181817,16.65909090909091,20.511363636363637,13399.670454545454
costruction_tools_tools,1047.820512820513,23.46153846153846,15.666666666666666,17.23076923076923,7357.666666666667
diapers_and_hygiene,1037.5,25.0,17.583333333333332,19.25,8468.416666666666
drinks,1736.1728395061727,23.91358024691358,22.37037037037037,19.395061728395063,11217.802469135802
dvds_blu_ray,381.5625,21.270833333333332,4.416666666666667,14.875,1746.8541666666667
electronics,1275.0851063829787,25.237911025145067,11.736943907156673,18.46808510638298,7962.506769825919
fashio_female_clothing,572.2222222222222,23.296296296296298,11.481481481481481,18.333333333333332,7165.259259259259
fashion_bags_accessories,426.76442873969376,19.181389870435808,8.998822143698469,15.57243816254417,4480.634864546525
fashion_childrens_clothes,324.0,27.4,13.4,20.6,7590.2
fashion_male_clothing,559.7368421052631,27.326315789473686,14.021052631578947,22.11578947368421,8798.421052631578
fashion_shoes,1044.5086705202311,26.028901734104046,13.38150289017341,24.947976878612717,8478.208092485549
fashion_sport,344.7368421052632,22.105263157894736,12.842105263157896,16.263157894736842,6789.894736842105
fashion_underwear_beach,362.2641509433962,25.50943396226415,8.849056603773585,18.90566037735849,4584.132075471698
fixed_telephony,660.8275862068965,20.646551724137932,10.741379310344827,16.5,5018.681034482759
flowers,1403.5714285714287,21.714285714285715,15.571428571428571,16.714285714285715,6334.857142857143
food,923.4146341463414,21.29268292682927,14.682926829268293,17.71951219512195,6634.121951219512
food_drink,1307.9326923076924,23.403846153846153,15.951923076923077,18.39423076923077,7947.163461538462
furniture_bedroom,9997.222222222223,59.93333333333333,30.8,34.4,51038.84444444445
furniture_decor,3008.2668423033497,43.89499435453519,17.438088069251034,28.663153933007152,22481.22544222808
furniture_living_room,8934.846153846154,50.73076923076923,22.365384615384617,44.42948717948718,54486.1282051282
furniture_mattress_and_upholstery,13190.0,46.3,34.4,41.3,77244.3
garden_tools,3103.776892430279,30.93625498007968,19.204515272244358,23.50464807436919,18615.406374501992
health_beauty,1434.7937806873977,23.800736497545007,15.712356792144027,17.997545008183305,10468.159165302783
home_appliances,1979.654054054054,29.805405405405406,14.891891891891891,21.85945945945946,13451.751351351351
home_appliances_2,9913.333333333334,45.733333333333334,30.666666666666668,38.166666666666664,55476.311111111114
home_comfort_2,1467.6,53.2,15.2,26.2,20938.0
home_confort,3800.4504504504503,39.1981981981982,20.045045045045047,33.414414414414416,28148.72972972973
home_construction,3395.7155555555555,29.32888888888889,24.377777777777776,23.45777777777778,20800.235555555555
housewares,3020.793576017131,31.859957173447537,22.337901498929337,24.821413276231265,21904.167880085653
industry_commerce_and_business,5929.191176470588,39.05882352941177,32.51470588235294,29.220588235294116,37372.30882352941
kitchen_and_food_product,2517.5,28.5,25.3,24.6,18872.7
kitchen_dining_laundry_garden_furniture,11598.563829787234,47.340425531914896,40.47872340425532,38.680851063829785,69406.09574468085
la_cuisine,4350.0,67.3,13.8,34.8,30483.4
luggage_accessories,3723.2836676217767,35.74212034383954,29.584527220630374,30.707736389684815,32950.33524355301
market_place,1544.1057692307693,26.759615384615383,17.625,22.490384615384617,12973.48076923077
music,1213.5185185185185,27.14814814814815,9.925925925925926,18.22222222222222,6727.481481481482
musical_instruments,3361.038062283737,36.27681660899654,16.85467128027682,29.844290657439448,25089.020761245676
